fullname,class,order,family,genericName,genus,description
Pongo tapanuliensis,Mammalia,Primates,Hominidae,Pongo,Pongo,"The Tapanuli orangutan (Pongo tapanuliensis) is a species of orangutan restricted to South Tapanuli in the island of Sumatra in Indonesia. It is one of three known species of orangutan, alongside the Sumatran orangutan (Pongo abelii), found farther northwest on the island, and Bornean orangutan (Pongo pygmaeus). It was described as a distinct species in 2017."
Cheirogaleus shethi,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,Cheirogaleus,"The Ankarana dwarf lemur or Sheth's dwarf lemur (Cheirogaleus shethi) is a species of dwarf lemur, part of the C. medius group, known only from northern Madagascar. It has been found in two reserves (Ankarana Special Reserve and Analamerana Special Reserve) as well as two protected areas (Andrafiamena-Andavakoera and Loky-Manambato). It was identified in 2014, but not formally described until 2016. Its conservation status has not been determined, but it is at risk from habitat destruction due to daily resource extraction by local human populations."
Microcebus manitatra,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus,"Microcebus manitatra, the Nosy Be mouse lemur, is a species of mouse lemur described in 2016 from Madagascar. It was discovered by a team of researchers at the German Primate Center. It was initially discovered among closely related species such as Madame Berthe's mouse lemur (already described in 2013), Boraha mouse lemur, and Ganzhorn's mouse lemur. Morphological similarity made it impossible to identify them as distinct species. A genetic study was done in collaboration with scientists at the University of Kentucky, the Duke Lemur Center and the University of Antananarivo in Madagascar. The mtDNA sequencing revealed that the species was unique."
Microcebus ganzhorni,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus,"Ganzhorn's mouse lemur (Microcebus ganzhorni) is a species of lemur described in 2016. The discovery was made by researchers at the German Primate Center. It was discovered in Madagascar among closely related species such as Madame Berthe's mouse lemur, already described in 2013. Due to their close resemblance, it was initially impossible to identify them as distinct species. It was only after genetic analyses (mtDNA sequencing) that the species was established. The genetic study was done in collaboration with scientists at the University of Kentucky, the Duke Lemur Center and the University of Antananarivo in Madagascar."
Microcebus boraha,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus,"Boraha mouse lemur (Microcebus boraha) is a species of mouse lemur described in 2016 from Madagascar. It was discovered by a team of researchers at the German Primate Center. It was initially discovered among closely related species such as Madame Berthe's mouse lemur (already described in 2013), Microcebus manitatra, and Ganzhorn's mouse lemur. Morphological similarity made it impossible to identify them as distinct species. A genetic study was done in collaboration with scientists at the University of Kentucky, the Duke Lemur Center and the University of Antananarivo in Madagascar. The mtDNA sequencing revealed that the species was unique."
Plecturocebus aureipalatii,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The Madidi titi, also known as the GoldenPalace.com monkey or the golden palace monkey, is a titi, a kind of New World monkey, discovered in western Bolivia's Madidi National Park in 2004. Its scientific name is Plecturocebus aureipalatii, the specific epithet meaning ""of the Golden Palace"", in reference to GoldenPalace.com, an online casino which paid US$650,000 to have the species named after them, with benefits going toward the nonprofit organization that maintains the park where the titi was discovered."
Plecturocebus stephennashi,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Stephen Nash's titi (Plecturocebus stephennashi), also known as just Nash's titi or Stephen Nash's monkey, is a species of titi, a type of New World monkey, endemic to the eastern bank of the Purus River in Brazil. It was discovered by Marc van Roosmalen in 2001 when local fishermen brought specimens to his breeding center. It was described in 2002. It was named in honor of Stephen D. Nash, an illustrator for Conservation International, the organization that funded van Roosmalen's work. The monkey is largely silver with a black forehead and red sideburns and chest, as well as on the underside of the species' limbs. It is 28 inches long, although 17 inches is taken up by the titi's tail."
Plecturocebus brunneus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The brown titi, Plecturocebus brunneus, is a species of titi, a type of New World monkey, from South America. It is found in Brazil, Peru, and Bolivia. It was originally described as Callicebus brunneus in 1842."
Plecturocebus ornatus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The ornate titi (Plecturocebus ornatus) is a species of titi and is the smallest member of the family Pitheciidae, which also includes uakaris and saki monkeys. As it is a member of this family, it is classified as a type of New World monkey. It is endemic to eastern Colombia, and the only member of the Plecturocebus moloch group to occur north of the Rios Amazonas/Solimes/Napo axis, living at least 350 km away from the closest other member, the white-tailed titi (Plecturocebus discolor), which lives in the south of Colombia. It was once classified as the same species as the white-tailed titi, but is now officially recognized as its own species. The ornate titi is also terrestrial."
Plecturocebus caligatus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The chestnut-bellied titi (Plecturocebus caligatus) is a species of titi, a type of New World monkey, endemic to Brazil. It was originally described as Callicebus caligatus in 1842."
Plecturocebus discolor,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The white-tailed titi, Plecturocebus discolor, is a species of titi, a type of New World monkey, from South America. It is found in Colombia, Ecuador and Peru. It was described in 1848 as Callicebus discolor."
Plecturocebus caquetensis,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The Caquetá titi, Plecturocebus caquetensis, also known as the red-bearded titi or the bushy-bearded titi, is a species of titi monkey endemic to Colombia found in the Department of Caquetá region. Taxonomically, it is a member of the ""Callicebus cupreus group"" (now Plecturocebus cupreus), following Shunsuke Kobayashi's Callicebus grouping. It was first described by Thomas Defler, Marta Bueno and Javier Garcia in 2010. It is highly endangered due to habitat fragmentation and a small population."
Plecturocebus baptista,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The Baptista Lake titi, Plecturocebus baptista, is a species of titi, a type of New World monkey, endemic to Brazil. It was originally described as Callicebus baptista in 1939."
Plecturocebus cupreus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The coppery titi (Plecturocebus cupreus) is a species of titi, a type of New World monkey, from South America. It is found in the Amazon of Brazil and Peru, and perhaps northern Bolivia. It was described as Callicebus cupreus in 1823."
Plecturocebus hoffmannsi,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Hoffmanns's titi (Plecturocebus hoffmannsi) is a species of titi, a type of New World monkey, endemic to Brazil. It was described as Callicebus hoffmannsi in 1908."
Plecturocebus miltoni,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Milton's titi (Plecturocebus miltoni) is a species of titi, a type of New World monkey, from southern Amazon rainforest, Brazil. It was named after the Brazilian primatologist Milton Thiago de Mello. Milton's titi was discovered in 2011 by Julio César Dalponte, and recognized as a new species in 2014."
Plecturocebus cinerascens,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The ashy black titi, Plecturocebus cinerascens, is a species of titi, a type of New World monkey, endemic to Brazil. It was originally described as Callicebus cinerascens in 1823."
Plecturocebus bernhardi,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Prince Bernhard's titi (Plecturocebus bernhardi) is a species of titi, a type of New World monkey, endemic to Brazil. It was formally described in 2002 by Marc van Roosmalen and Russell Mittermeier, and named after Prince Bernard of the Netherlands. Locals were shown a photograph of the monkey and asked if they knew of its whereabouts, it was referred to as a ""Zog-Zog"". This titi has dark orange sideburns and chest, a reddish-brown back, and a black tail with a white tip. It is about 94 centimeters (37 in) in length, although 56 centimeters (22 in) is taken up by its tail."
Plecturocebus vieirai,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Vieira's titi monkey (Plecturocebus vieirai) is a species of titi, a type of New World monkey, from central-northern Brazil."
Plecturocebus moloch,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The red-bellied titi or dusky titi (Plecturocebus moloch) is a species of titi, a type of New World monkey, endemic to Brazil. It lives in forests and thickets."
Plecturocebus modestus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"Rio Beni titi (Plecturocebus modestus) is a species of titi, a type of New World monkey, endemic to Bolivia."
Plecturocebus olallae,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The Ollala brothers's titi (Plecturocebus olallae) is a species of titi, a type of New World monkey, endemic to Bolivia."
Plecturocebus oenanthe,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The Rio Mayo titi (Plecturocebus oenanthe) is a species of titi, a type of New World monkey, endemic to Peru. The Rio Mayo titi, was thought previously to have a small range of origin in the Alto Mayo valley, but research has proven that the range extends southward and reaches the Huayamba River, as well as Bajo Mayo. It had been classified as vulnerable but due to major habitat loss and restricted living space, it is now classified as Critically Endangered. In October 2012, it was included in The World's 25 Most Endangered Primates list. An increase in deforestation is leading to the decrease in available living space for this titi monkey, forcing it to live in sympatry with another species of Callicebus. Yet in some areas, such drastic deforestation has resulted in extremely high population density. The Rio Mayo titi is better adapted to moderately populated areas, thus overpopulation negatively impacts the species. The forests the Rio Mayo titi lives in are being destroyed for agricultural purposes, leaving little forest for the monkeys. They were only seen a few times and featured in museums until 2003 when more research was done on them. In order for this species to survive, their forests need to be protected to avoid overpopulation. Different conservation groups are working to help P. oenanthe survive. Neotropical Primate Conservation, Proyecto Mono Tocón and Amazónicos para la Amazonia are working in the more southern areas to protect the monkey. The Rio Mayo titi is a fairly inconspicuous creature, making observation and research difficult to obtain. Therefore, the traditional use of transect observation to monitor the monkey's population, is less effective. Instead, other methods of calculating the titi monkey's density in certain areas have been taken, such as research into the species-specific calls endemic to a certain area."
Plecturocebus pallescens,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The white-coated titi (Plecturocebus pallescens) is a species of titi, a type of New World monkey, from South America. It is found in Bolivia, Brazil, and Paraguay."
Cheracebus purinus,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The Rio Purus titi (Cheracebus purinus) is a species of titi, a type of New World monkey, endemic to Brazil."
Cheracebus regulus,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The red-headed titi (Cheracebus regulus) is a species of titi, a type of New World monkey, endemic to Brazil. It was originally described as Callicebus regulus in 1927."
Cheracebus lucifer,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The Lucifer titi (Cheracebus lucifer) is a species of titi, a type of New World monkey, from South America. It is found in Brazil, Colombia, Ecuador, and Peru. It was described as Callicebus lucifer in 1914. The Lucifer titi has previously been treated as part of C. torquatus, the collared titi."
Plecturocebus donacophilus,Mammalia,Primates,Pitheciidae,Plecturocebus,Plecturocebus,"The white-eared titi, Plecturocebus donacophilus, also known as the Bolivian titi or Bolivian gray titi, is a species of titi, a type of New World monkey, from eastern Bolivia and an area of western Brazil. The species has a range that extends east from the Manique River in Beni Department, Bolivia to southern Rondônia in Brazil. The southern end of its range includes forests around the city of Santa Cruz de la Sierra."
